amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.02,29.0,0.013859407821455453,19,False,19,2
0.05,36.0,0.17276173970412612,19,False,19,2
0.075,14.0,0.015653550837455003,19,False,19,2
0.1,27.0,0.1094211588192293,19,False,19,2
0.2,33.0,0.22089889066779878,19,False,19,2
0.5,19.0,0.06403014843302322,19,False,19,2
0.75,19.0,0.0354194374371645,19,False,19,2
1.0,39.0,0.13372989286451814,19,False,19,2
2.0,35.0,0.463071015014588,19,False,19,2
5.0,48.0,0.3010541816225988,19,False,19,2
