amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,1.1915071466471167e-12,101,1.1106213962589642,True,4.295813561813135
0.5397,1.7591063031559267e-12,101,1.1111111111111114,True,8.282754736920444
0.8021,1.1931021144447065e-12,101,1.1111111111111114,True,12.046962533939729
1.0645,8.137555792622807e-12,101,1.1111111111111114,True,15.602692981192861
1.3268,8.189861808842501e-13,101,2.2222222222222228,True,18.96451987756149
1.5892,2.5819916080055296e-12,101,2.2217325073700755,True,22.150822314241147
1.8516,1.1931095064045428e-11,101,1.135945619486997,True,25.176103682640534
2.1139,2.5691588766534174e-12,101,1.1111111111111114,True,28.05511280972794
2.3763,1.1964579486429552e-12,101,1.1607801278628829,True,30.805860645052483
2.6387,5.531261165870525e-13,101,1.1111111111111114,True,33.44304369358263
2.9011,1.7608053830231087e-12,101,1.1935239219928209,True,35.982482725566
3.1634,1.1993412939613591e-12,101,1.1111111111111114,True,38.439075553800215
3.4258,1.1975784902128418e-12,101,1.1111111111111114,True,40.83051104144564
3.6882,2.579053232886474e-12,101,1.135945619486997,True,43.171658794030165
3.9505,3.8121370635527995e-13,101,2.2217325073700755,True,45.47746506791083
4.2129,2.5797875385927626e-12,101,1.1930342071406737,True,47.765503753656034
4.4753,2.5926573638875457e-13,101,1.1930342071406737,True,50.05071098582622
4.7376,3.778317183010745e-12,101,1.135945619486997,True,52.34802721481079
5.0,3.7407250306632225e-12,101,1.1111111111111114,True,54.6750198576403
