amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,8.135864349039224e-13,103,1.1111111111111114,True,4.295813561813135
0.5397,5.576706463061879e-13,103,1.1111111111111114,True,8.282754736920444
0.8021,1.19597801217462e-12,103,1.1111111111111114,True,12.046962533939729
1.0645,1.198699998131109e-12,103,1.135945619486997,True,15.602692981192861
1.3268,3.814000083724464e-13,103,2.2222222222222228,True,18.96451987756149
1.5892,5.594980902726862e-13,103,2.2217325073700755,True,22.150822314241147
1.8516,3.781650717343283e-12,103,1.135945619486997,True,25.176103682640534
2.1139,8.161233894095811e-13,103,1.1111111111111114,True,28.05511280972794
2.3763,5.580216493201113e-13,103,1.1607801278628829,True,30.805860645052483
2.6387,1.204713618911299e-13,103,1.1116008259632584,True,33.44304369358263
2.9011,8.180308898861157e-13,103,1.1602904130107357,True,35.982482725566
3.1634,2.596351527055225e-13,103,1.1111111111111114,True,38.439075553800215
3.4258,8.182430879419942e-13,103,1.1111111111111114,True,40.83051104144564
3.6882,8.190923877987972e-13,103,1.1935239219928209,True,43.171658794030165
3.9505,1.7760465463735168e-13,103,2.22271193707437,True,45.47746506791083
4.2129,8.195173424622102e-13,103,1.3784851093200619,True,47.765503753656034
4.4753,5.623629700193617e-14,103,2.14029912619266,True,50.05071098582622
4.7376,1.7588637005881979e-12,103,1.135945619486997,True,52.34802721481079
5.0,2.55310941615756e-12,103,1.1111111111111114,True,54.6750198576403
