amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,1.2025550269865376e-13,124,0.6786850570259728,True,4.295813561813135
0.5397,5.529171967955333e-13,124,0.2785130822186252,True,8.282754736920444
0.8021,5.466833751169903e-13,124,0.2785130822186252,True,12.046962533939729
1.0645,1.1994583345149513e-13,124,0.6823948424769254,True,15.602692981192861
1.3268,3.8085728584287586e-14,124,1.0949840714722159,True,18.96451987756149
1.5892,1.7686914104470848e-13,124,0.7201363198929011,True,22.150822314241147
1.8516,1.7658387078984592e-13,124,0.6789299144520464,True,25.176103682640534
2.1139,1.790905032443546e-14,124,1.1108662536850378,True,28.05511280972794
2.3763,3.8954436252121975e-15,124,1.0984489994970947,True,30.805860645052483
2.6387,5.5761284065709e-14,124,0.18046294655016734,True,33.44304369358263
2.9011,5.714179247239407e-15,124,1.1111111111111114,True,35.982482725566
3.1634,5.6583029817834145e-14,124,1.0986938569231683,True,38.439075553800215
3.4258,1.224982569772467e-14,124,1.1111111111111114,True,40.83051104144564
3.6882,8.091039298584668e-14,124,1.1111111111111114,True,43.171658794030165
3.9505,5.556053491377012e-14,124,1.0703944205224036,True,45.47746506791083
4.2129,1.7963414384685276e-14,124,1.1106213962589642,True,47.765503753656034
4.4753,8.399176982662267e-15,124,1.3327804631021336,True,50.05071098582622
4.7376,2.629342873419103e-14,124,1.1245077950033484,True,52.34802721481079
5.0,5.717799378815811e-15,124,1.1111111111111114,True,54.6750198576403
